"","Year","Birthrate"
"1",1917,183.1
"2",1918,183.9
"3",1919,163.1
"4",1920,179.5
"5",1921,181.4
"6",1922,173.4
"7",1923,167.6
"8",1924,177.4
"9",1925,171.7
"10",1926,170.1
"11",1927,163.7
"12",1928,151.9
"13",1929,145.4
"14",1930,145
"15",1931,138.9
"16",1932,131.5
"17",1933,125.7
"18",1934,129.5
"19",1935,129.6
"20",1936,129.5
"21",1937,132.2
"22",1938,134.1
"23",1939,132.1
"24",1940,137.4
"25",1941,148.1
"26",1942,174.1
"27",1943,174.7
"28",1944,156.7
"29",1945,143.3
"30",1946,189.7
"31",1947,212
"32",1948,200.4
"33",1949,201.8
"34",1950,200.7
"35",1951,215.6
"36",1952,222.5
"37",1953,231.5
"38",1954,237.9
"39",1955,244
"40",1956,259.4
"41",1957,268.8
"42",1958,264.3
"43",1959,264.5
"44",1960,268.1
"45",1961,264
"46",1962,252.8
"47",1963,240
"48",1964,229.1
"49",1965,204.8
"50",1966,193.3
"51",1967,179
"52",1968,178.1
"53",1969,181.1
"54",1970,165.6
"55",1971,159.8
"56",1972,136.1
"57",1973,126.3
"58",1974,123.3
"59",1975,118.5
"60",1976,110.3
"61",1977,112.9
"62",1978,109.9
"63",1979,112.8
"64",1980,115.1
"65",1981,112.2
"66",1982,111.6
"67",1983,107.8
"68",1984,106.8
"69",1985,108.3
"70",1986,107.4
"71",1987,107.9
"72",1988,110.2
"73",1989,113.8
"74",1990,116.5
"75",1991,115.3
"76",1992,113.7
"77",1993,111.3
"78",1994,109.2
"79",1995,107.5
"80",1996,107.8
"81",1997,107.3
"82",1998,108.4
"83",1999,107.9
"84",2000,109.7
"85",2001,106.2
"86",2002,103.6
"87",2003,102.6
